OBJECTID,REACHCODE,REACHRESOL,SOURCE_ORI,SOURCE_FEA,FEATUREDET,Measure,EventType,FLComID,AGENCY_CD,STATION_NM,STATE_CD,STATE,DASqMi,DASqKm,LatSite,LonSite,Active,ActiveDate,OBJECTID_2,GRIDCODE,FEATUREID,SOURCEFC,AreaSqKM,Shape_Leng,Shape_Area,AREA,PERIMETER,PHYSIODD_,PHYSIODD_I,FCODE,FENCODE,DIVISION,PROVINCE,SECTION,PROVCODE
223,"01100004000591",Medium,"USGS, Water Resources Division","01195100",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01195100,44.342449999999999,StreamGage,"6177558",USGS,"INDIAN RIVER NEAR CLINTON, CT","9",CT,5.680000000000000,14.711200000000000,41.306172199999999,-72.531033300000004,"1","20151006",61304,"1872553","6177558",NHDFlowline,2.917800000000000,0.123829975107531,0.000313719934850,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
247,"01090005000294",Medium,"USGS, Water Resources Division","01118300",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01118300,81.482659999999996,StreamGage,"6140826",USGS,"PENDELTON HILL BROOK NEAR CLARKS FALLS, CT","9",CT,4.020000000000000,10.411799999999999,41.474822199999998,-71.834236099999998,"1","20151006",57816,"1868978","6140826",NHDFlowline,4.327200000000002,0.171670997764497,0.000466400275463,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
255,"01100002000123",Medium,"USGS, Water Resources Division","01123000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01123000,32.453029999999998,StreamGage,"6162981",USGS,"LITTLE RIVER NEAR HANOVER, CT","9",CT,30.000000000000000,77.700000000000003,41.671765100000002,-72.052298070000006,"1","20151006",59679,"1870888","6162981",NHDFlowline,20.993400000000001,0.320569891484714,0.002270115123489,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
268,"01100002000032",Medium,"USGS, Water Resources Division","01121000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01121000,99.168160000000000,StreamGage,"6162583",USGS,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT","9",CT,28.600000000000001,74.073999999999998,41.843708900000003,-72.168966200000000,"1","20151006",59530,"1870735","6162583",NHDFlowline,27.269100000000002,0.573715007078197,0.002955379718137,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
275,"01080207000033",Medium,"USGS, Water Resources Division","01187300",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01187300,76.375829999999993,StreamGage,"6105951",USGS,"HUBBARD RIVER NEAR WEST HARTLAND, CT","9",CT,19.899999999999999,51.540999999999997,42.037500000000001,-72.939327779999999,"1","20151006",51126,"1862017","6105951",NHDFlowline,0.800100000000000,0.049372769803882,0.000086991648220,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
379,"01080206000077",Medium,"USGS, Water Resources Division","01181000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01181000,71.562790000000007,StreamGage,"6096297",USGS,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA","25",MA,94.000000000000000,243.460000000000008,42.237311689999999,-72.895653999999993,"1","20151006",50494,"1861375","6096297",NHDFlowline,3.504600000000000,0.114690923029631,0.000382237734240,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
613,"01080105000002",Medium,"USGS, Water Resources Division","01144000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01144000,53.848439999999997,StreamGage,"6084505",USGS,"WHITE RIVER AT WEST HARTFORD, VT","50",VT,690.000000000000000,1787.099999999999909,43.714236139999997,-72.418149000000000,"1","20151006",40758,"1851447","6084505",NHDFlowline,2.203200000000000,0.087853328522806,0.000246029787590,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
628,"01040001000084",Medium,"USGS, Water Resources Division","01052500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01052500,29.708909999999999,StreamGage,"19334265",USGS,"Diamond River near Wentworth Location, NH","33",NH,152.000000000000000,393.680000000000007,44.877499999999998,-71.057500000000005,"1","20151006",17959,"1828076","19334265",NHDFlowline,1.544400000000000,0.071396523855381,0.000175885512854,2.978,10.826,"67","77","93",9c,APPALACHIAN HIGHLANDS,NEW ENGLAND,WHITE MOUNTAIN,"9"
691,"01070001000237",Medium,"USGS, Water Resources Division","01078000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01078000,43.087679999999999,StreamGage,"6731199",USGS,"SMITH RIVER NEAR BRISTOL, NH","33",NH,85.799999999999997,222.222000000000008,43.566463069999998,-71.747856999999996,"1","20151006",32248,"1842680","6731199",NHDFlowline,0.512100000000000,0.038642923794843,0.000057055113411,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
696,"01080105000069",Medium,"USGS, Water Resources Division","01142500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01142500,19.652909999999999,StreamGage,"6083547",USGS,"AYERS BROOK AT RANDOLPH, VT","50",VT,30.500000000000000,78.995000000000005,43.934509689999999,-72.657882099999995,"1","20151006",40873,"1851563","6083547",NHDFlowline,4.305600000000000,0.140680662118686,0.000482661215810,0.877,6.482,"96","107","94",9d,APPALACHIAN HIGHLANDS,NEW ENGLAND,GREEN MOUNTAIN,"9"
699,"01080203000008",Medium,"USGS, Water Resources Division","01170100",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01170100,38.681719999999999,StreamGage,"10294622",USGS,"GREEN RIVER NEAR COLRAIN, MA","25",MA,41.399999999999999,107.225999999999999,42.703416949999998,-72.670647380000005,"1","20151006",46609,"1857390","10294622",NHDFlowline,5.450400000000000,0.147673984957533,0.000598860076243,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
723,"01060003000177",Medium,"USGS, Water Resources Division","01073000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01073000,28.546550000000000,StreamGage,"5845058",USGS,"OYSTER RIVER NEAR DURHAM, NH","33",NH,12.100000000000000,31.338999999999999,43.148695500000002,-70.965060300000005,"1","20151006",29963,"1840349","5845058",NHDFlowline,4.377600000000000,0.155856246042783,0.000484484821622,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
745,"01080202000036",Medium,"USGS, Water Resources Division","01162500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01162500,35.574840000000002,StreamGage,"9343363",USGS,"PRIEST BROOK NEAR WINCHENDON, MA","25",MA,19.399999999999999,50.246000000000002,42.682585899999999,-72.115081200000006,"1","20151006",46562,"1857343","9343363",NHDFlowline,8.181900000000002,0.184253087712338,0.000898782735758,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
