OBJECTID,REACHCODE,REACHRESOL,SOURCE_ORI,SOURCE_FEA,FEATUREDET,Measure,EventType,FLComID,AGENCY_CD,STATION_NM,STATE_CD,STATE,DASqMi,DASqKm,LatSite,LonSite,Active,ActiveDate,GagesII,AREA,PERIMETER,PHYSIODD_,PHYSIODD_I,FCODE,FENCODE,DIVISION,PROVINCE,SECTION,PROVCODE
3,"01090002000178",Medium,"USGS, Water Resources Division","01105917",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01105917,9.650259999999999,StreamGage,"5878903",USGS,"MATTAPOISETT RIVER NEAR MATTAPOISETT, MA","25",MA,24.000000000000000,62.159999999999997,41.662604459999997,-70.838369599999993,"1","20151006",Non-ref,2.121,22.216,"102","93","91",9a,APPALACHIAN HIGHLANDS,NEW ENGLAND,SEABOARD LOWLAND,"9"
35,"01100002000311",Medium,"USGS, Water Resources Division","01122610",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01122610,61.242330000000003,StreamGage,"6163199",USGS,"SHETUCKET R AT SOUTH WINDHAM, CT","9",CT,408.000000000000000,1056.720000000000027,41.682320799999999,-72.165911070000007,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
71,"01100005001374",Medium,"USGS, Water Resources Division","01204000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01204000,67.510819999999995,StreamGage,"7716608",USGS,"POMPERAUG RIVER AT SOUTHBURY, CT","9",CT,75.099999999999994,194.508999999999986,41.481938890000002,-73.224572199999997,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
76,"01090004000838",Medium,"USGS, Water Resources Division","01115114",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01115114,22.087170000000000,StreamGage,"6128591",USGS,"RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI","44",RI,4.700000000000000,12.173000000000000,41.837599290000000,-71.612008900000006,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
82,"01100005000975",Medium,"USGS, Water Resources Division","01200000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01200000,76.863360000000000,StreamGage,"7712756",USGS,"TENMILE RIVER NEAR GAYLORDSVILLE, CT","36",NY,203.000000000000000,525.769999999999982,41.658763890000003,-73.528683299999997,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
85,"01080205000057",Medium,"USGS, Water Resources Division","01193500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01193500,7.251610000000000,StreamGage,"7700458",USGS,"SALMON RIVER NEAR EAST HAMPTON, CT","9",CT,100.000000000000000,259.000000000000000,41.552321239999998,-72.449252869999995,"1","20151006",Ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
93,"01100004000415",Medium,"USGS, Water Resources Division","01196215",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01196215,1.250740000000000,StreamGage,"6174472",USGS,"HONEYPOT BROOK AT WELL FIELD NEAR CHESHIRE, CT","9",CT,3.150000000000000,8.158500000000000,41.542597600000001,-72.877323689999997,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
100,"01090005000058",Medium,"USGS, Water Resources Division","01118000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01118000,76.218230000000005,StreamGage,"6140122",USGS,"WOOD RIVER AT HOPE VALLEY, RI","44",RI,72.400000000000006,187.515999999999991,41.498155160000003,-71.716456100000002,"1","20151006",Non-ref,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
102,"01090004000832",Medium,"USGS, Water Resources Division","01115280",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01115280,34.616399999999999,StreamGage,"6128763",USGS,"CORK BK AT ROCKLAND SCITUATE RD NR CLAYVILLE, RI","44",RI,1.790000000000000,4.636100000000000,41.803988269999998,-71.649787900000007,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
111,"01100004000415",Medium,"USGS, Water Resources Division","01196210",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01196210,32.262169999999998,StreamGage,"6174472",USGS,"HONEYPOT BROOK AT CREAMERY ROAD AT CHESHIRE, CT","9",CT,2.060000000000000,5.335400000000000,41.532319700000002,-72.889824169999997,"1","20151006",,11.837,36.376,"37","57","92",9b,APPALACHIAN HIGHLANDS,NEW ENGLAND,NEW ENGLAND UPLAND,"9"
